0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.0545829,0.109166,0.163749,0.218332,0.272915,0.327497,0.436663,0.545829,0.654995,0.764161,0.873327,0.982492,1.09166,1.47491,1.9927,2.69228,3.63745,4.91445,6.63976,8.97077,12.1201,16.3751,22.1239,29.891
0.0797261,0.159452,0.239178,0.318904,0.39863,0.478356,0.637809,0.797261,0.956713,1.11616,1.27562,1.43507,1.59452,2.08137,2.71687,3.5464,4.62921,6.04263,7.8876,10.2959,13.4395,17.5429,22.8992,29.891
0.0709317,0.141863,0.212795,0.283727,0.354659,0.42559,0.567454,0.709317,0.851181,0.993044,1.13491,1.27677,1.41863,1.87156,2.46909,3.2574,4.29739,5.66942,7.47949,9.86747,13.0179,0.0,0.0,0.0
0.0632826,0.126565,0.189848,0.25313,0.316413,0.379696,0.506261,0.632826,0.759391,0.885957,1.01252,1.13909,1.26565,1.68715,2.24901,2.99799,3.9964,5.32731,7.10144,9.46641,12.619,16.8214,22.4234,29.891
0.0639608,0.127922,0.191882,0.255843,0.319804,0.383765,0.511687,0.639608,0.76753,0.895452,1.02337,1.15129,1.27922,1.70358,2.26871,3.02133,4.02361,5.35838,7.13594,9.50318,0.0,0.0,22.4451,29.891
0.0676081,0.135216,0.202824,0.270432,0.33804,0.405648,0.540864,0.676081,0.811297,0.946513,1.08173,1.21694,1.35216,1.79166,0.0,3.14567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0582298,0.11646,0.174689,0.232919,0.0,0.0,0.0,0.0,0.0,0.815217,0.0,0.0,0.0,0.0,0.0,2.82194,3.79028,5.09091,6.83785,9.18425,12.3358,16.5688,22.2544,29.891
0.0616832,0.123366,0.18505,0.246733,0.308416,0.370099,0.493466,0.616832,0.740199,0.863565,0.986932,1.1103,1.23366,1.64834,2.2024,2.94269,3.93183,5.25344,7.01929,9.3787,12.5312,16.7433,22.3713,29.891
0.0841155,0.168231,0.252346,0.336462,0.420577,0.504693,0.672924,0.841155,1.00939,1.17762,1.34585,1.51408,1.68231,2.18529,2.83865,3.68736,4.78981,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0675488,0.135098,0.0,0.270195,0.337744,0.405293,0.54039,0.675488,0.810585,0.945683,1.08078,1.21588,1.35098,1.79024,0.0,0.0,0.0,5.52029,7.31518,9.69367,12.8455,17.0221,22.5568,29.891
0.0663041,0.132608,0.198912,0.265216,0.33152,0.397825,0.530433,0.663041,0.795649,0.928257,1.06087,1.19347,1.32608,1.76022,2.33649,3.10143,4.1168,5.46458,7.2536,9.62833,12.7805,16.9647,22.5187,29.891
